EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
info,2023-04-24T17:59:00.183642,,257,9875,running,cli,,,,,,,,,,,"releasing transaction lock",
stop,2023-04-24T17:59:00.183835,0.028585,257,9875,running,cli,,,commit,,,,,,,,"commit",
stop,2023-04-24T17:59:00.183984,0.102328,257,9875,running,cli,,,,,,,,,,,"applying transaction",
info,2023-04-24T17:59:00.194007,,257,9875,running,cli,,,,,,,,ios92,,,"releasing device lock",
stop,2023-04-24T17:59:00.194164,0.945016,257,9874,running,cli,,,,,,,,ios91,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T17:59:00.195054,90.531080,257,9875,running,cli,,,,,,,,ios92,,,"sync-from",
stop,2023-04-24T17:59:00.195307,29.395575,257,9874,running,cli,,,,,,,,ios91,show,,"show",
start,2023-04-24T17:59:00.198780,,257,9874,running,cli,,,,,,,,,,,"applying transaction",
start,2023-04-24T17:59:00.198919,,257,9874,running,cli,,,validate,,,,,,,,"validate",
start,2023-04-24T17:59:00.199091,,257,9874,running,cli,,,,,,,,,,,"grabbing transaction lock",
stop,2023-04-24T17:59:00.199408,0.000317,257,9874,running,cli,,,,,,,,,,,"grabbing transaction lock",
start,2023-04-24T17:59:00.199544,,257,9874,running,cli,,,,,,,,,,,"check and resolve conflicts",
stop,2023-04-24T17:59:00.200593,0.001049,257,9874,running,cli,,,,,,,,,,,"check and resolve conflicts",
start,2023-04-24T17:59:00.202931,,257,9874,running,cli,,,,,,,,,,,"creating rollback file",
stop,2023-04-24T17:59:00.227242,0.024311,257,9874,running,cli,,,,,,,,,,,"creating rollback file",
start,2023-04-24T17:59:00.227457,,257,9874,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
stop,2023-04-24T17:59:00.236890,0.009433,257,9874,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
start,2023-04-24T17:59:00.237050,,257,9874,running,cli,,,,,,,,,,,"mark inactive",
stop,2023-04-24T17:59:00.242540,0.005490,257,9874,running,cli,,,,,,,,,,,"mark inactive",
start,2023-04-24T17:59:00.243072,,257,9874,running,cli,,,,,,,,,,,"pre validate",
stop,2023-04-24T17:59:00.245109,0.002037,257,9874,running,cli,,,,,,,,,,,"pre validate",
start,2023-04-24T17:59:00.245194,,257,9874,running,cli,,,,,,,,,,,"run validation over the changeset",
stop,2023-04-24T17:59:00.246960,0.001766,257,9874,running,cli,,,,,,,,,,,"run validation over the changeset",
start,2023-04-24T17:59:00.247080,,257,9874,running,cli,,,,,,,,,,,"run dependency-triggered validation",
stop,2023-04-24T17:59:00.247876,0.000796,257,9874,running,cli,,,,,,,,,,,"run dependency-triggered validation",
start,2023-04-24T17:59:00.247958,,257,9874,running,cli,,,,,,,,,,,"check configuration policies",
stop,2023-04-24T17:59:00.248162,0.000204,257,9874,running,cli,,,,,,,,,,,"check configuration policies",
stop,2023-04-24T17:59:00.248358,0.049439,257,9874,running,cli,,,validate,,,,,,,,"validate",
start,2023-04-24T17:59:00.248433,,257,9874,running,cli,,,write-start,,,,,,,,"write-start",
info,2023-04-24T17:59:00.248525,,257,9874,running,cli,,cdb,write-start,,,,,,,,"write-start",
info,2023-04-24T17:59:00.249060,,257,9874,running,cli,,ncs-internal-service-mux,write-start,,,,,,,,"write-start",
start,2023-04-24T17:59:00.250856,,257,9874,running,cli,,cdb,,,,,,,,,"match subscribers",
stop,2023-04-24T17:59:00.250994,0.000138,257,9874,running,cli,,cdb,,,,,,,,,"match subscribers",
start,2023-04-24T17:59:00.251101,,257,9874,running,cli,,cdb,,,,,,,,,"create pre commit running",
stop,2023-04-24T17:59:00.252955,0.001854,257,9874,running,cli,,cdb,,,,,,,,,"create pre commit running",
start,2023-04-24T17:59:00.253057,,257,9874,running,cli,,cdb,,,,,,,,,"write changeset",
