EVENT TYPE,TIMESTAMP,DURATION,TRACE ID,SPAN ID,PARENT SPAN ID,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,SUBSYSTEM,MESSAGE,ANNOTATION,ATTRIBUTE NAME,ATTRIBUTE VALUE,LINK TRACE ID,LINK SPAN ID
start,2025-11-03T08:43:42.763654,,8234fc5d49261ff8b03148401fe21371,33bbedc157edad73,cb6e3bafe93e837d,80,6331,running,cli,service-manager,creating service,,service,/service-a/service[name='A'],,
,,,,,,,,,,,,,service_operation,create,,
info,2025-11-03T08:43:42.767758,,8234fc5d49261ff8b03148401fe21371,,,80,,,cli,,python-service A,,,,,
stop,2025-11-03T08:43:42.771258,0.007604,8234fc5d49261ff8b03148401fe21371,33bbedc157edad73,cb6e3bafe93e837d,80,6331,running,cli,service-manager,creating service,,service,/service-a/service[name='A'],,
,,,,,,,,,,,,,service_operation,create,,
start,2025-11-03T08:43:42.771438,,8234fc5d49261ff8b03148401fe21371,3e7d49bcc248943a,cb6e3bafe93e837d,80,6331,running,cli,service-manager,creating service,,service,/service-b/service[name='B'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:43:42.776690,0.005252,8234fc5d49261ff8b03148401fe21371,3e7d49bcc248943a,cb6e3bafe93e837d,80,6331,running,cli,service-manager,creating service,,service,/service-b/service[name='B'],,
,,,,,,,,,,,,,service_operation,create,,
start,2025-11-03T08:43:42.776854,,8234fc5d49261ff8b03148401fe21371,28bcc597ea4e88b4,cb6e3bafe93e837d,80,6331,running,cli,service-manager,creating service,,service,/service-c/service[name='C'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:43:42.781615,0.004761,8234fc5d49261ff8b03148401fe21371,28bcc597ea4e88b4,cb6e3bafe93e837d,80,6331,running,cli,service-manager,creating service,,service,/service-c/service[name='C'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:43:42.782210,0.018981,8234fc5d49261ff8b03148401fe21371,cb6e3bafe93e837d,f9d6cfc4442f1586,80,6331,running,cli,,run transforms and transaction hooks,,,,,
start,2025-11-03T08:43:42.782297,,8234fc5d49261ff8b03148401fe21371,a5676ae08e536fc3,f9d6cfc4442f1586,80,6331,running,cli,,mark inactive,,,,,
stop,2025-11-03T08:43:42.782564,0.000267,8234fc5d49261ff8b03148401fe21371,a5676ae08e536fc3,f9d6cfc4442f1586,80,6331,running,cli,,mark inactive,,,,,
start,2025-11-03T08:43:42.782657,,8234fc5d49261ff8b03148401fe21371,a74021545a85d1a6,f9d6cfc4442f1586,80,6331,running,cli,,pre validate,,,,,
stop,2025-11-03T08:43:42.782984,0.000327,8234fc5d49261ff8b03148401fe21371,a74021545a85d1a6,f9d6cfc4442f1586,80,6331,running,cli,,pre validate,,,,,
start,2025-11-03T08:43:42.783077,,8234fc5d49261ff8b03148401fe21371,b42cb5a343cd8384,f9d6cfc4442f1586,80,6331,running,cli,,run validation over the changeset,,,,,
stop,2025-11-03T08:43:42.783863,0.000786,8234fc5d49261ff8b03148401fe21371,b42cb5a343cd8384,f9d6cfc4442f1586,80,6331,running,cli,,run validation over the changeset,,,,,
start,2025-11-03T08:43:42.783921,,8234fc5d49261ff8b03148401fe21371,b42cb5a343cd8384,f9d6cfc4442f1586,80,6331,running,cli,,run dependency-triggered validation,,,,,
stop,2025-11-03T08:43:42.784073,0.000152,8234fc5d49261ff8b03148401fe21371,b42cb5a343cd8384,f9d6cfc4442f1586,80,6331,running,cli,,run dependency-triggered validation,,,,,
start,2025-11-03T08:43:42.784147,,8234fc5d49261ff8b03148401fe21371,aff995b46dbd58c0,f9d6cfc4442f1586,80,6331,running,cli,,check configuration policies,,,,,
