EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
stop,2023-05-03T22:08:07.511131,0.000176,41,46643,running,cli,,cdb,,,,,,,,,"write changeset",
start,2023-05-03T22:08:07.511217,,41,46643,running,cli,,,,,,,,,,,"check data kickers",
stop,2023-05-03T22:08:07.511288,0.000071,41,46643,running,cli,,,,,,,,,,,"check data kickers",
stop,2023-05-03T22:08:07.511637,0.008491,41,46643,running,cli,,,write-start,,,,,,,,"write-start",
start,2023-05-03T22:08:07.511691,,41,46643,running,cli,,,prepare,,,,,,,,"prepare",
info,2023-05-03T22:08:07.511726,,41,46643,running,cli,,cdb,prepare,,,,,,,,"prepare",
info,2023-05-03T22:08:07.517887,,41,46643,running,cli,,ncs-internal-device-mgr,prepare,,,,,,,,"prepare",
stop,2023-05-03T22:08:07.520076,0.008385,41,46643,running,cli,,,prepare,,,,,,,,"prepare",
start,2023-05-03T22:08:07.520146,,41,46643,running,cli,,,commit,,,,,,,,"commit",
info,2023-05-03T22:08:07.520204,,41,46643,running,cli,,cdb,commit,,,,,,,,"commit",
start,2023-05-03T22:08:07.520363,,41,46643,running,cli,,cdb,,,,,,,,,"switch to new running",
stop,2023-05-03T22:08:07.538425,0.018062,41,46643,running,cli,,cdb,,,,,,,,,"switch to new running",
info,2023-05-03T22:08:07.538596,,41,46643,running,cli,,cdb,,,,,,,,,"delivering commit subscription notifications at prio 1",
info,2023-05-03T22:08:07.542865,,41,46643,running,cli,,cdb,,,,,,,,,"all commit subscription notifications acknowledged",
info,2023-05-03T22:08:07.543063,,41,46643,running,cli,,ncs-internal-device-mgr,commit,,,,,,,,"commit",
info,2023-05-03T22:08:07.561629,,41,46643,running,cli,,,,,,,,,,,"releasing transaction lock",
stop,2023-05-03T22:08:07.561726,0.041580,41,46643,running,cli,,,commit,,,,,,,,"commit",
stop,2023-05-03T22:08:07.561782,0.068022,41,46643,running,cli,,,,,,,,,,,"applying transaction",
info,2023-05-03T22:08:07.566058,,41,46643,running,cli,,,,,,,,ios0,,,"releasing device lock",
stop,2023-05-03T22:08:07.566571,2.136659,41,46643,running,cli,,,,,,,,ios0,,,"sync-from",
